--_curl_--http://www.wunderground.com/history/airport/MIA/1992/08/1/DailyHistory.html?&format=1

TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:00 AM,81.0,73.9,79,30.12,7.0,SW,5.8,-,N/A,,Clear,220,1992-08-01 04:00:00<br />
1:00 AM,80.1,73.9,81,30.13,7.0,WNW,4.6,-,N/A,,Scattered Clouds,290,1992-08-01 05:00:00<br />
2:00 AM,79.0,73.9,84,30.12,7.0,SW,2.3,-,N/A,,Scattered Clouds,220,1992-08-01 06:00:00<br />
3:00 AM,79.0,73.9,84,30.11,7.0,WNW,2.3,-,N/A,,Scattered Clouds,300,1992-08-01 07:00:00<br />
4:00 AM,79.0,73.9,84,30.08,7.0,West,4.6,-,N/A,,Clear,280,1992-08-01 08:00:00<br />
5:00 AM,78.1,73.9,87,30.08,7.0,South,2.3,-,N/A,,Clear,180,1992-08-01 09:00:00<br />
6:00 AM,79.0,73.0,82,30.09,7.0,WNW,4.6,-,N/A,,Clear,300,1992-08-01 10:00:00<br />
7:00 AM,79.0,73.0,82,30.10,7.0,WNW,2.3,-,N/A,,Partly Cloudy,300,1992-08-01 11:00:00<br />
8:00 AM,80.1,73.9,81,30.11,7.0,WNW,3.5,-,N/A,,Partly Cloudy,290,1992-08-01 12:00:00<br />
9:00 AM,84.9,73.9,69,30.12,7.0,SW,2.3,-,N/A,,Partly Cloudy,220,1992-08-01 13:00:00<br />
10:00 AM,87.1,73.0,63,30.12,7.0,South,2.3,-,N/A,,Scattered Clouds,180,1992-08-01 14:00:00<br />
11:00 AM,90.0,72.0,55,30.12,7.0,SW,3.5,-,N/A,,Scattered Clouds,230,1992-08-01 15:00:00<br />
12:00 PM,89.1,72.0,57,30.12,7.0,ENE,3.5,-,N/A,,Scattered Clouds,70,1992-08-01 16:00:00<br />
1:00 PM,91.9,72.0,52,30.11,7.0,SW,4.6,-,N/A,,Scattered Clouds,220,1992-08-01 17:00:00<br />
2:00 PM,88.0,72.0,59,30.11,7.0,SE,10.4,-,0.12,Rain,Rain Showers,140,1992-08-01 18:00:00<br />
3:00 PM,89.1,71.1,55,30.09,7.0,South,10.4,-,0.03,,Scattered Clouds,170,1992-08-01 19:00:00<br />
4:00 PM,91.0,71.1,52,30.07,7.0,SE,11.5,-,N/A,,Scattered Clouds,140,1992-08-01 20:00:00<br />
5:00 PM,90.0,70.0,52,30.06,7.0,ESE,12.7,-,N/A,,Scattered Clouds,120,1992-08-01 21:00:00<br />
6:00 PM,88.0,71.1,57,30.06,7.0,SE,11.5,-,N/A,,Unknown,140,1992-08-01 22:00:00<br />
7:00 PM,88.0,71.1,57,30.06,7.0,SE,11.5,-,N/A,,Unknown,130,1992-08-01 23:00:00<br />
8:00 PM,84.9,73.0,67,30.09,7.0,SE,9.2,-,N/A,,Scattered Clouds,140,1992-08-02 00:00:00<br />
9:00 PM,82.9,75.0,77,30.09,7.0,SE,10.4,-,N/A,,Scattered Clouds,140,1992-08-02 01:00:00<br />
10:00 PM,84.0,75.0,74,30.11,7.0,SE,8.1,-,N/A,,Scattered Clouds,130,1992-08-02 02:00:00<br />
11:00 PM,82.9,75.0,77,30.12,7.0,SE,8.1,-,N/A,,Scattered Clouds,130,1992-08-02 03:00:00<br />
--_curl_--http://www.wunderground.com/history/airport/MIA/1992/08/2/DailyHistory.html?&format=1

TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:00 AM,82.0,75.0,79,30.12,7.0,WSW,4.6,-,N/A,,Scattered Clouds,240,1992-08-02 04:00:00<br />
1:00 AM,82.0,75.0,79,30.12,7.0,WSW,6.9,-,N/A,,Scattered Clouds,240,1992-08-02 05:00:00<br />
2:00 AM,80.1,73.0,79,30.09,7.0,South,4.6,-,N/A,,Scattered Clouds,170,1992-08-02 06:00:00<br />
3:00 AM,80.1,73.9,81,30.08,7.0,SSE,4.6,-,N/A,,Scattered Clouds,150,1992-08-02 07:00:00<br />
4:00 AM,80.1,73.9,81,30.07,7.0,NW,5.8,-,N/A,,Scattered Clouds,310,1992-08-02 08:00:00<br />
5:00 AM,80.1,73.9,81,30.06,7.0,NNW,4.6,-,N/A,,Scattered Clouds,340,1992-08-02 09:00:00<br />
6:00 AM,80.1,73.9,81,30.07,7.0,NNW,3.5,-,N/A,,Scattered Clouds,330,1992-08-02 10:00:00<br />
7:00 AM,79.0,75.0,88,30.08,7.0,NNW,6.9,-,N/A,,Scattered Clouds,340,1992-08-02 11:00:00<br />
8:00 AM,81.0,75.0,82,30.08,7.0,North,6.9,-,N/A,,Scattered Clouds,350,1992-08-02 12:00:00<br />
9:00 AM,84.9,75.0,72,30.09,7.0,North,5.8,-,N/A,,Scattered Clouds,10,1992-08-02 13:00:00<br />
10:00 AM,87.1,73.0,63,30.10,7.0,ESE,4.6,-,N/A,,Scattered Clouds,120,1992-08-02 14:00:00<br />
11:00 AM,89.1,71.1,55,30.11,7.0,ESE,4.6,-,N/A,,Scattered Clouds,120,1992-08-02 15:00:00<br />
12:00 PM,90.0,72.0,55,30.11,7.0,NE,9.2,-,N/A,,Scattered Clouds,50,1992-08-02 16:00:00<br />
1:00 PM,90.0,71.1,54,30.10,7.0,NE,6.9,-,N/A,,Scattered Clouds,50,1992-08-02 17:00:00<br />
2:00 PM,91.0,71.1,52,30.09,7.0,ESE,11.5,-,N/A,,Scattered Clouds,120,1992-08-02 18:00:00<br />
3:00 PM,91.0,70.0,50,30.07,7.0,ESE,11.5,-,N/A,,Scattered Clouds,110,1992-08-02 19:00:00<br />
4:00 PM,91.0,70.0,50,30.07,7.0,East,12.7,-,N/A,,Scattered Clouds,100,1992-08-02 20:00:00<br />
5:00 PM,89.1,68.0,50,30.06,7.0,ESE,12.7,-,N/A,,Unknown,120,1992-08-02 21:00:00<br />
6:00 PM,87.1,73.0,63,30.04,7.0,ESE,15.0,-,N/A,,Mostly Cloudy,120,1992-08-02 22:00:00<br />
7:00 PM,87.1,73.0,63,30.03,7.0,SE,9.2,-,N/A,,Mostly Cloudy,130,1992-08-02 23:00:00<br />
8:00 PM,86.0,71.1,61,30.04,7.0,East,9.2,-,N/A,,Mostly Cloudy,90,1992-08-03 00:00:00<br />
9:00 PM,84.9,73.9,69,30.07,7.0,East,11.5,-,N/A,,Mostly Cloudy,90,1992-08-03 01:00:00<br />
